dataset,loss_type,compress_type,compress_size,input_size,num_layers,hidden_size,test_fold,stop_epoch,train_loss,val_loss,test_loss,time
ATAC_JV_adipose,square,median,100,1,1,16,1,4,2.407269486554024,1.4016420186636969,2.34178728554847,1442.3822605609894
ATAC_JV_adipose,square,median,100,1,1,16,2,64,2.3590003598605733,1.6160323921900603,1.91322528568264,2851.805013179779
ATAC_JV_adipose,square,median,100,1,1,2,1,25,2.1470152926562966,1.389452861857135,2.312452091342277,1110.6165745258331
ATAC_JV_adipose,square,median,100,1,1,2,2,147,2.419436705049759,1.6152077102716165,1.951269944382754,2635.680608034134
ATAC_JV_adipose,square,median,100,1,1,4,1,15,2.1520878567062027,1.3888723763811868,2.3131328758672844,1258.677256345749
ATAC_JV_adipose,square,median,100,1,1,4,2,76,2.422861444354744,1.6221922193190863,1.965249497797904,2198.580475091934
ATAC_JV_adipose,square,median,100,1,1,8,1,8,2.1954329885939305,1.3883833349758787,2.316323920045703,1077.0044877529144
ATAC_JV_adipose,square,median,100,1,1,8,2,117,2.2771567621097866,1.6205036536875097,1.9025061694571328,2660.7453083992004
ATAC_JV_adipose,square,median,100,1,2,16,1,35,2.1206639479143345,1.3971127486927435,2.310726137177856,5037.409598588944
ATAC_JV_adipose,square,median,100,1,2,16,2,113,2.232488168331516,1.4989483499560845,2.035160932529716,7682.985846996307
ATAC_JV_adipose,square,median,100,1,2,2,1,24,2.173005193313958,1.390791219464736,2.3170480791130634,2244.8481307029724
ATAC_JV_adipose,square,median,100,1,2,2,2,117,2.3574548003292044,1.6161758622514422,1.9725728795748751,4435.5049476623535
ATAC_JV_adipose,square,median,100,1,2,4,1,15,2.1823958331120705,1.390868953455938,2.3189078661684666,2563.486250638962
ATAC_JV_adipose,square,median,100,1,2,4,2,114,2.242469383787621,1.587060123991581,1.926705802959528,5799.459186553955
ATAC_JV_adipose,square,median,100,1,2,8,1,9,2.1956674574308006,1.3908290122472682,2.318281588106393,2321.75536942482
ATAC_JV_adipose,square,median,100,1,2,8,2,82,2.264239579236351,1.5506620801011608,1.9445118277794609,4223.171918153763
ATAC_JV_adipose,square,median,1000,1,1,16,1,4,2.368795034777205,1.3947709267959,2.332990940990879,193.77258706092837
ATAC_JV_adipose,square,median,1000,1,1,16,2,196,2.0099758081282824,1.5498565808490887,1.976449163867151,683.6016130447388
ATAC_JV_adipose,square,median,1000,1,1,2,1,24,2.1859928646459146,1.3913266433984972,2.3222301941173704,150.34273171424866
ATAC_JV_adipose,square,median,1000,1,1,2,2,106,2.4185374258084424,1.650254349984607,1.9714186599130767,279.35458493232727
ATAC_JV_adipose,square,median,1000,1,1,4,1,15,2.1608105583727597,1.3926942975306884,2.3130940128658413,163.15916419029236
ATAC_JV_adipose,square,median,1000,1,1,4,2,46,2.432632887996421,1.656873409470956,1.974320496526065,209.6153237819672
ATAC_JV_adipose,square,median,1000,1,1,8,1,8,2.20017089795845,1.3912514600390569,2.3168561460852164,138.91152119636536
ATAC_JV_adipose,square,median,1000,1,1,8,2,126,2.0672855712939056,1.5160276965616504,1.977551157504348,338.60988569259644
ATAC_JV_adipose,square,median,1000,1,2,16,1,35,2.123653870476267,1.406540173186877,2.3106274372349453,611.4628632068634
ATAC_JV_adipose,square,median,1000,1,2,16,2,146,2.0184921614791684,1.534238030145885,1.8856022997313897,1134.534114599228
ATAC_JV_adipose,square,median,1000,1,2,2,1,24,2.174761575046358,1.3907983551407233,2.317646912261554,365.4279053211212
ATAC_JV_adipose,square,median,1000,1,2,2,2,69,2.4188977448539144,1.6467899588738375,1.9799755483099424,486.0186655521393
ATAC_JV_adipose,square,median,1000,1,2,4,1,15,2.1836005757905945,1.390914502547239,2.319277032549582,358.26298117637634
ATAC_JV_adipose,square,median,1000,1,2,4,2,74,2.319048818411206,1.6581540454168466,1.968935234594013,605.4151756763458
ATAC_JV_adipose,square,median,1000,1,2,8,1,9,2.1955531444113223,1.3908590354773331,2.3181610851635392,325.8383927345276
ATAC_JV_adipose,square,median,1000,1,2,8,2,43,2.382799792875469,1.6616939542899756,1.96065466489446,437.4219424724579
ATAC_JV_adipose,square,median,2000,1,1,16,1,4,2.3495376428939063,1.3931356259156018,2.32895301161718,109.79750370979308
ATAC_JV_adipose,square,median,2000,1,1,16,2,183,2.009738318019377,1.4376568260486238,1.83073753695741,370.455899477005
