dataset,loss_type,compress_type,compress_size,input_size,num_layers,hidden_size,test_fold,stop_epoch,train_loss,val_loss,test_loss,time
ATAC_JV_adipose,square,mean,1000,1,1,16,2,41,2.468260653503239,1.6184421479278668,1.9770568638050463,3732.477205514908
ATAC_JV_adipose,square,mean,1000,1,1,2,1,24,2.189982883464112,1.3915068909572437,2.3229343100408677,3682.753966569901
ATAC_JV_adipose,square,mean,1000,1,1,2,2,202,2.4336003229138443,1.6166992979335852,1.9812484657874248,9962.190744876862
ATAC_JV_adipose,square,mean,1000,1,1,4,1,15,2.188544113693065,1.390231983163976,2.326564854542915,3095.489397525788
ATAC_JV_adipose,square,mean,1000,1,1,4,2,202,2.4301729638033014,1.612929660551758,1.983633464132043,9940.721220254898
ATAC_JV_adipose,square,mean,1000,1,1,8,1,9,2.2141197959707437,1.3910875554941595,2.323756857656344,2732.622835874557
ATAC_JV_adipose,square,mean,1000,1,1,8,2,76,2.447134122814584,1.612698575714603,1.9766592730444332,5138.562253475189
ATAC_JV_adipose,square,mean,1000,1,2,16,1,4,2.3960732294458005,1.401115138437599,2.34030222155833,5157.632225036621
ATAC_JV_adipose,square,mean,1000,1,2,16,2,92,2.416926012732256,1.446184410895512,2.063600153498145,12492.860603570938
ATAC_JV_adipose,square,mean,1000,1,2,2,1,27,2.168587622727203,1.3907708541845205,2.316815638605344,7721.170825242996
ATAC_JV_adipose,square,mean,1000,1,2,2,2,106,2.454006119038365,1.6183515296486968,1.9779358555824436,12902.808560609818
ATAC_JV_adipose,square,mean,1000,1,2,4,1,15,2.1654560700255425,1.3917810909170658,2.3139640885659336,6083.745644569397
ATAC_JV_adipose,square,mean,1000,1,2,4,2,230,2.205831258309606,1.4501263064501635,1.982207008262362,33268.87586116791
ATAC_JV_adipose,square,mean,1000,1,2,8,1,8,2.253799721801461,1.394140392318368,2.330280637507368,5775.34363079071
ATAC_JV_adipose,square,mean,1000,1,2,8,2,101,2.2297110971083334,1.5137303649574856,1.911456035715644,12566.636959791183
ATAC_JV_adipose,square,mean,2000,1,1,16,1,35,2.1218436786225445,1.401325958929956,2.307252685731739,2102.087422847748
ATAC_JV_adipose,square,mean,2000,1,1,16,2,203,2.1357738490246163,1.3856825585998278,1.8560365039116524,5143.568581342697
ATAC_JV_adipose,square,mean,2000,1,1,2,1,24,2.1933832018510246,1.3914730501361192,2.324112093355819,1655.1079244613647
ATAC_JV_adipose,square,mean,2000,1,1,2,2,323,2.4069060046769613,1.6214747674636203,1.9754927518378524,7460.242610454559
ATAC_JV_adipose,square,mean,2000,1,1,4,1,15,2.189572685504962,1.392738559110439,2.328835819457804,1505.5816991329193
ATAC_JV_adipose,square,mean,2000,1,1,4,2,297,2.402509188582356,1.6151062818720343,1.977884953610644,6737.246863126755
ATAC_JV_adipose,square,mean,2000,1,1,8,1,9,2.21790132251163,1.391697148559615,2.325239057981167,1373.8606941699982
ATAC_JV_adipose,square,mean,2000,1,1,8,2,243,2.408421923811386,1.6056163744183736,1.988312647765861,5610.200298070908
ATAC_JV_adipose,square,mean,2000,1,2,16,1,4,2.39642422030352,1.401248994222842,2.3404496242691906,2705.8527448177338
ATAC_JV_adipose,square,mean,2000,1,2,16,2,125,2.1502429121101576,1.5095904549816623,1.8498681425689567,6982.248037576675
ATAC_JV_adipose,square,mean,2000,1,2,2,1,27,2.168249106050098,1.390728258160525,2.316687090195478,3545.578497409821
ATAC_JV_adipose,square,mean,2000,1,2,2,2,147,2.420389742740912,1.613603588997979,1.9745344613716376,7898.477257490158
ATAC_JV_adipose,square,mean,2000,1,2,4,1,92,2.0075979116876885,1.3305798035115004,2.3594534728627177,6443.421804189682
ATAC_JV_adipose,square,mean,2000,1,2,4,2,106,2.426654385061536,1.6132377914724534,1.9793258418787032,6293.27855014801
ATAC_JV_adipose,square,mean,2000,1,2,8,1,8,2.2506861159522025,1.3935559246502818,2.329229464723365,2810.0393517017365
ATAC_JV_adipose,square,mean,2000,1,2,8,2,46,2.449419320356023,1.6593328882855447,1.9575785032129935,4097.108999013901
ATAC_JV_adipose,square,median,100,1,1,16,1,5,2.157699850100327,1.4090585889184148,2.3115900160987186,27653.806583881375
ATAC_JV_adipose,square,median,100,1,1,16,2,264,2.4707968162355454,1.6606346202950757,1.9768507568840252,127684.89024972916
ATAC_JV_adipose,square,median,100,1,1,2,1,24,2.1934245937623853,1.3918101817555726,2.324967481036337,36916.57463526726
ATAC_JV_adipose,square,median,100,1,1,2,2,299,2.4669399361558524,1.670966289646458,1.999513887113944,145229.93371129036
ATAC_JV_adipose,square,median,100,1,1,4,1,15,2.1723196096442865,1.3888716488843784,2.3211237705136187,33174.91389870644
ATAC_JV_adipose,square,median,100,1,1,4,2,376,2.4626510658783705,1.667598581703549,1.9804742730871592,177610.14600276947
ATAC_JV_adipose,square,median,100,1,1,8,1,9,2.17849907913389,1.3891030299616978,2.315241334832552,30450.163666009903
ATAC_JV_adipose,square,median,100,1,1,8,2,429,2.426945131161483,1.6550810669167817,1.9526934439883947,199473.00804638863
ATAC_JV_adipose,square,median,100,1,2,16,1,50,3.483328034970921,1.3091101392544806,2.6065483894944004,105127.36106204988
ATAC_JV_adipose,square,median,100,1,2,16,2,37,2.496240812618552,1.678190689036538,1.976807262033898,76616.8723154068
ATAC_JV_adipose,square,median,100,1,2,2,1,27,2.1711815324275188,1.3907266031348262,2.317956527636586,82401.61920809746
ATAC_JV_adipose,square,median,100,1,2,2,2,183,2.3280895223713847,1.6479520770213143,2.028770234729497,203136.60020160675
ATAC_JV_adipose,square,median,100,1,2,4,1,15,2.1674466527908165,1.3908705423027277,2.314493892868273,64700.65968489647
ATAC_JV_adipose,square,median,100,1,2,4,2,89,2.3167729603612264,1.6394972768347629,1.957139951334528,119553.7472782135
ATAC_JV_adipose,square,median,100,1,2,8,1,85,1.7249200057733884,1.287912731851684,2.47852872012738,135219.24520421028
ATAC_JV_adipose,square,median,100,1,2,8,2,122,2.216791291706031,1.616302567370109,2.0651923202146087,150656.83989357948
ATAC_JV_adipose,square,median,1000,1,1,16,1,35,2.1239636708757774,1.4052538508201724,2.3101237326074924,2790.3371419906616
ATAC_JV_adipose,square,median,1000,1,1,16,2,149,2.449544785946408,1.606267807425783,2.0098998971696687,5621.240005016327
ATAC_JV_adipose,square,median,1000,1,1,2,1,24,2.1891952348914483,1.3912229421595113,2.3224570919113305,3544.0096776485443
ATAC_JV_adipose,square,median,1000,1,1,2,2,297,2.442464512481508,1.6218691547586457,1.9882555276853449,9613.90990638733
ATAC_JV_adipose,square,median,1000,1,1,4,1,15,2.1915169373516887,1.3922735215851572,2.325994327463439,2189.8017568588257
