dataset,num_layers,layer_size,test_fold,stop_epoch,train_loss,val_loss,test_loss,time
H3K9me3_TDH_BP,1,512,2,864,0.9637094736099244,1.4373953342437744,2.225094556808472,3.8845579624176025
H3K9me3_TDH_BP,2,1,1,14806,1.155800700187683,1.0204522609710691,1.832058668136597,27.079110860824585
H3K9me3_TDH_BP,2,1,2,12883,2.0406334400177,0.9076080918312072,1.2444003820419312,23.80410408973694
H3K9me3_TDH_BP,2,2,1,14332,1.155800700187683,1.0204522609710691,1.832058668136597,27.511372804641724
H3K9me3_TDH_BP,2,2,2,12408,2.040720224380493,0.9076080918312072,1.2445467710494995,24.030362606048584
H3K9me3_TDH_BP,2,4,1,15033,1.1558009386062622,1.020453691482544,1.831775188446045,28.94705104827881
H3K9me3_TDH_BP,2,4,2,13129,2.038644552230835,0.9081332683563232,1.2410898208618164,25.59284996986389
H3K9me3_TDH_BP,2,8,1,1727,0.9983425736427308,1.0787004232406616,2.6822760105133057,4.973928213119507
H3K9me3_TDH_BP,2,8,2,3784,1.4308041334152222,1.2256771326065063,1.3103536367416382,8.683411598205566
H3K9me3_TDH_BP,2,16,1,1691,0.9904896020889282,1.1505802869796753,2.6894567012786865,4.931735992431641
H3K9me3_TDH_BP,2,16,2,2579,1.2553092241287231,1.283639669418335,1.5659639835357666,6.375324964523315
H3K9me3_TDH_BP,2,32,1,1264,0.8371015787124634,1.0197337865829468,2.5654914379119877,4.011061906814575
H3K9me3_TDH_BP,2,32,2,1730,0.9753021001815796,1.2200558185577393,1.8635237216949463,4.878589868545532
H3K9me3_TDH_BP,2,64,1,2161,0.7297893166542053,0.935145616531372,2.4479997158050537,5.929124355316162
H3K9me3_TDH_BP,2,64,2,743,0.9537519812583924,1.3152934312820437,2.1997971534729004,3.418222188949585
H3K9me3_TDH_BP,2,128,1,1046,0.7282338738441467,0.8821796774864197,2.0821688175201416,4.342362642288208
H3K9me3_TDH_BP,2,128,2,550,0.9241409301757812,1.073750376701355,2.1904568672180176,3.155273675918579
H3K9me3_TDH_BP,2,256,1,915,0.7184731364250183,0.9403896331787108,1.99933123588562,5.0338966846466064
H3K9me3_TDH_BP,2,256,2,498,0.8750137090682983,1.1559585332870483,2.162495374679565,3.459682941436768
H3K9me3_TDH_BP,2,512,1,386,0.7399108409881592,0.9614620804786682,1.9394607543945312,4.478914499282837
H3K9me3_TDH_BP,2,512,2,255,0.8835802674293518,1.1147068738937378,2.137727737426758,3.727466821670532
H3K9me3_TDH_BP,3,1,1,15766,1.155800700187683,1.0204534530639648,1.832058668136597,34.192880630493164
H3K9me3_TDH_BP,3,1,2,13843,2.040750026702881,0.9076080918312072,1.2445968389511108,29.392112016677856
H3K9me3_TDH_BP,3,2,1,14718,1.1558009386062622,1.020453691482544,1.83206570148468,32.30813193321228
H3K9me3_TDH_BP,3,2,2,12795,2.040719509124756,0.9076080918312072,1.2445452213287354,28.93021774291992
H3K9me3_TDH_BP,3,4,1,1789,1.1558012962341309,1.0204386711120603,1.8320144414901731,5.54608941078186
H3K9me3_TDH_BP,3,4,2,1387,2.014683723449707,0.9076080918312072,1.189658284187317,4.792997121810913
H3K9me3_TDH_BP,3,8,1,1376,0.9317232966423036,0.9640570282936096,2.575929641723633,4.813795328140259
H3K9me3_TDH_BP,3,8,2,1856,1.4649738073349,1.2999720573425293,1.5379072427749634,5.6965415477752686
H3K9me3_TDH_BP,3,16,1,2623,0.8340357542037964,1.0390398502349854,2.698241949081421,7.261447906494141
H3K9me3_TDH_BP,3,16,2,2201,1.10552179813385,1.1291123628616333,1.2237861156463623,6.506389379501343
H3K9me3_TDH_BP,3,32,1,1543,0.8467012047767639,0.9989378452301024,2.546952962875366,5.227365016937256
H3K9me3_TDH_BP,3,32,2,1314,1.1484977006912231,0.9747087955474854,1.4478332996368408,4.695964574813843
H3K9me3_TDH_BP,3,64,1,1293,0.7194632887840271,0.8762823939323425,2.3247599601745605,4.910149335861206
H3K9me3_TDH_BP,3,64,2,511,1.0033290386199951,1.2634758949279783,2.0038788318634038,2.8474433422088623
H3K9me3_TDH_BP,3,128,1,543,0.76457279920578,0.948231041431427,2.273699283599853,3.236804723739624
