dataset,loss_type,compress_type,compress_size,input_size,num_layers,hidden_size,test_fold,stop_epoch,train_loss,val_loss,test_loss,time
ATAC_JV_adipose,square,median,1000,1,1,4,1,16,2.178591895247875,1.3902213531933558,2.316139915810368,9254.447850465776
ATAC_JV_adipose,square,median,1000,1,1,4,2,46,2.41176327456716,1.6284788619483483,1.9695072217183796,11397.994779109957
ATAC_JV_adipose,square,median,1000,1,1,8,1,66,2.0235297564746477,1.3368542697373778,2.256378703591861,21461.55696296692
ATAC_JV_adipose,square,median,1000,1,1,8,2,37,2.4384756979767865,1.648054619637564,1.968323520063877,10390.642968654633
ATAC_JV_adipose,square,median,1000,1,2,16,1,62,1.9614908282194528,1.2625955107528717,3.5840381311697778,32128.180037736893
ATAC_JV_adipose,square,median,1000,1,2,16,2,87,1.8767028899058436,1.548137997269805,1.8929117313373576,33429.364973545074
ATAC_JV_adipose,square,median,1000,1,2,2,1,26,2.172935060779667,1.3909593513968863,2.31941800438876,22025.31605887413
ATAC_JV_adipose,square,median,1000,1,2,2,2,76,2.434074494531711,1.6444652194622904,1.9773651454364645,30108.75405025482
ATAC_JV_adipose,square,median,1000,1,2,4,1,16,2.162033505070175,1.3931178746093065,2.312604938090867,19796.52147769928
ATAC_JV_adipose,square,median,1000,1,2,4,2,64,2.4045922606380192,1.6454194644280835,1.972629325387719,26653.49565386772
ATAC_JV_adipose,square,median,1000,1,2,8,1,8,2.19229350985574,1.3915979284839706,2.314230918649719,16646.65380859375
ATAC_JV_adipose,square,median,1000,1,2,8,2,118,1.8757928538714932,1.6009551720013735,1.93970259295804,41081.079815387726
ATAC_JV_adipose,square,median,2000,1,1,16,1,92,1.665694960278972,1.2666473444295117,2.715246774163569,10296.017624378204
ATAC_JV_adipose,square,median,2000,1,1,16,2,34,2.394401057610604,1.6032056184644303,1.962714603810179,5295.008068084717
ATAC_JV_adipose,square,median,2000,1,1,2,1,22,2.186334015644151,1.392633347667288,2.3237402135572163,5194.042813539505
ATAC_JV_adipose,square,median,2000,1,1,2,2,147,2.4055843486901307,1.604183251757852,1.9768736077036284,11867.452590227129
ATAC_JV_adipose,square,median,2000,1,1,4,1,93,2.008979271430411,1.3109701897474588,2.277340975741018,9580.678171634674
ATAC_JV_adipose,square,median,2000,1,1,4,2,89,2.3919397735289696,1.6103977430668073,1.969975365058964,8409.130084991455
ATAC_JV_adipose,square,median,2000,1,1,8,1,62,2.014286634336212,1.345142679475248,2.2568509750893195,8113.525072574615
ATAC_JV_adipose,square,median,2000,1,1,8,2,46,2.4001256672570683,1.608911496735263,1.9660865261588685,6072.154151916504
ATAC_JV_adipose,square,median,2000,1,2,16,1,110,1.8688751094699056,1.2801554111763835,2.262023500538937,22748.8525094986
ATAC_JV_adipose,square,median,2000,1,2,16,2,128,1.6451193080579103,1.2934794523541562,2.0899913281130065,21404.25130367279
ATAC_JV_adipose,square,median,2000,1,2,2,1,26,2.17354736226614,1.3909836332633858,2.319665033425806,10709.37481713295
ATAC_JV_adipose,square,median,2000,1,2,2,2,76,2.4021362731678946,1.6367536015783448,1.9859523854238803,14948.749061584473
ATAC_JV_adipose,square,median,2000,1,2,4,1,16,2.161656888324336,1.3932359649287536,2.312521545365814,9873.772131681442
ATAC_JV_adipose,square,median,2000,1,2,4,2,89,2.390162253793595,1.6264296438543873,1.981042952748284,16322.91226220131
ATAC_JV_adipose,square,median,2000,1,2,8,1,58,2.0395301996946467,1.3555116694746538,2.373347279662545,16535.435353517532
ATAC_JV_adipose,square,median,2000,1,2,8,2,126,1.995619537891388,1.569240337047218,2.181996210682003,20908.29573869705
ATAC_JV_adipose,linear,mean,100,1,1,16,1,12,1.0399856567382812,0.8247194194793701,1.1083624243191932,90575.35800671576
ATAC_JV_adipose,linear,mean,100,1,1,16,2,79,1.0848620414733887,0.9756003184752032,0.9917712928802986,159518.79984927177
ATAC_JV_adipose,linear,mean,100,1,1,2,1,17,1.0482293586341702,0.8288792896270752,1.1067153547452464,96446.01344394684
ATAC_JV_adipose,linear,mean,100,1,1,2,2,46,1.1258145713806151,1.0212081237272783,1.0073177504345654,119714.73228621484
ATAC_JV_adipose,linear,mean,100,1,1,4,1,11,1.0518327099936349,0.8288367176055909,1.1060826854618715,92731.74660086632
ATAC_JV_adipose,linear,mean,100,1,1,4,2,383,1.0826355607169016,0.9733491485769098,0.9995549132184284,524085.11919879913
